timestamp,group,transcription,rbd,grade,date,length,length (secs),NUM-OPER,PATR-ALG,GEOM,MEDIC,DATOS,ADMIN,EXPON,FEED,PREG,ESTUD,SISTEMA,NUM
1574775957166,T,1,9998,4 B,2019-11-26,00:44:23,2663,0.16612519494901182,0.1428023135578524,0.032758377635136386,0.008839173051094319,0.0,0.034261929415151604,0.19593551499614567,0.18168064283883076,0.039405113080411516,0.0325030656709814,0.056108383915504725,0.1095802908898794
1574775156813,C,1,26538,4 D,2019-11-26,00:52:02,3122,0.11879521619483767,0.032601985970015804,0.012270308630681829,0.017175676821318566,0.12817566809692518,0.09582491209383251,0.1763938520544086,0.21769762253285177,0.04767271443259924,0.05154030094426095,0.07170651372132035,0.030145228506947005
1574771375382,T,1,9998,4 C,2019-11-26,00:32:03,1923,0.19849379999507843,0.03086443089792744,0.08276238263213523,0.012893784338385613,0.0,0.04352893269112719,0.23292460789574868,0.18311843882306314,0.06554641544171502,0.026771290903476096,0.06387645311125666,0.05921946327008697
1574770706937,T,1,9861,4 A,2019-11-26,00:29:17,1757,0.1900448777341379,0.045059818471854994,0.08455250835404647,0.11571006625934256,0.001972327618736022,0.05203061125627757,0.1906997216892527,0.15615736519605725,0.05521518553663182,0.008313725597228656,0.03431700410241013,0.06592678818402375
1574770630497,C,1,26538,4 C,2019-11-26,00:53:14,3194,0.08841221668510241,0.02005602515774665,0.007805542319620881,0.0053354263211145055,0.12326868512231529,0.09929121179546321,0.17899073862747358,0.20965540229835747,0.041799608583895635,0.059396317344354715,0.04594798426357711,0.12004084148097809
1574694213989,T,1,9875,4 B,2019-11-25,00:24:35,1475,0.3122389057352891,0.021405801634312674,0.023355783944062215,0.02470736384445355,0.007508214281280457,0.022874920280428014,0.17039176763131522,0.14647572943974674,0.0656079900291847,0.02251957163323757,0.06191969543737329,0.12099425610931645
1574690279040,T,1,9875,4 A,2019-11-25,00:27:38,1658,0.24774723357669065,0.03626865338756231,0.012329471514162176,0.004699672436449219,0.014169362570168638,0.023816470225563727,0.1854818812445239,0.17581422899371146,0.060016945161313145,0.04858920172178189,0.059615919501292775,0.1314509596667798
1574685034064,T,1,9959,4 B,2019-11-25,00:23:47,1427,0.10286516372163547,0.019464388324487984,0.014652222951104198,0.010835719430789158,0.1080079567066473,0.04261267582257128,0.2127206036712343,0.2813298070278225,0.04228390058370503,0.0453368862343324,0.043783497266982156,0.07610717825868803
1574186511933,T,1,10001,4 A,2019-11-19,00:28:41,1721,0.2289710179435162,0.042253758250328705,0.0,0.010437017429990113,0.0,0.03647208904546082,0.16133989496319281,0.1399478591700296,0.08201521808193905,0.059325291583317785,0.06494848900409853,0.17428936452812674
1574179598790,T,1,10001,4 B,2019-11-19,00:46:38,2798,0.19326140656397303,0.023968869766529427,0.01263635359461487,0.005337794080765191,0.0024933424225611327,0.053470262755325744,0.1589044924032956,0.1732037913254419,0.06369738526288801,0.01667716640267189,0.046210037594469636,0.25013909782746385
1574178325834,T,1,26436,4 B,2019-11-19,00:44:14,2654,0.1627062779659671,0.17834062716780905,0.012454597839199704,0.018307781798230845,0.0,0.04692581686207246,0.1769789567015518,0.20011837060680598,0.051310367113871394,0.029187052128582004,0.028402360206565194,0.09526779160934432
