voy,explic,2
explic,palabr,2
palabr,numer,2
posicional,trabaj,2
trabaj,excelent,2
excelent,pued,2
pued,igual,2
igual,si,6
mir,igual,1
igual,lapiz,2
lapiz,recuerd,1
recuerd,explic,2
explic,tod,2
tod,sum,2
sum,pong,4
pong,result,2
result,pregunt,2
pregunt,vuelt,2
pregunt,bien,2
bien,respuest,2
respuest,sum,2
sum,explic,2
explic,si,2
si,numer,2
numer,sum,4
sum,necesit,1
necesit,aplic,2
aplic,pizarr,2
pizarr,result,2
mand,amor,2
amor,revis,2
revis,cuant,2
cuant,graci,1
ver,aqu,2
aqu,escrib,1
escrib,com,2
com,numer,2
numer,pizarr,2
pizarr,si,2
si,escrib,1
escrib,pizarr,2
pizarr,aplic,2
aplic,numer,2
pued,hac,2
hac,igual,2
igual,carg,1
carg,result,2
result,bien,2
bien,felicit,4
felicit,digam,2
digam,numer,2
numer,1,2
1,line,2
line,igual,1
igual,mir,2
mir,asi,2
asi,igual,2
si,voy,2
voy,mand,6
mand,vuelt,12
algun,medi,2
medi,vuelt,2
digam,mand,4
vuelt,ahi,2
ahi,mand,2
vuelt,vam,1
vam,respond,2
respond,respuest,2
respuest,com,2
com,hic,4
hic,explic,2
com,sum,6
pong,com,2
aqu,digam,1
digam,ver,3
ver,voy,4
voy,revis,2
revis,excelent,2
bien,mir,2
mir,hac,2
hac,ahi,2
ahi,5,2
5,40,2
40,igual,2
igual,aca,2
aca,igual,2
igual,asi,1
asi,mir,2
mir,5000,2
5000,mism,2
si,cer,2
cer,ahor,2
ahor,pon,2
pon,result,4
result,sup,2
sup,bien,2
bien,com,2
usted,trabaj,2
trabaj,respond,2
respond,pregunt,4
pregunt,vam,2
vam,usted,2
usted,igual,1
niñ,much,2
much,respuest,2
respuest,correct,4
correct,mand,2
vuelt,pon,2
result,pon,2
pon,numer,2
posicional,exact,1
exact,com,2
algun,respuest,2
respuest,nuev,2
nuev,bien,1
pus,digam,2
ver,dibuj,2
dibuj,bien,2
dond,voy,2
ahor,8,2
com,niñ,1
atencion,recuerd,4
recuerd,mand,2
mand,ahor,2
ahor,atencion,2
recuerd,ahor,2
ahor,respuest,2
respuest,algun,2
algun,compañer,2
compañer,usted,1
usted,hac,2
escrib,si,2
bien,mal,5
mal,si,2
pued,compañer,2
compañer,escrib,2
escrib,respuest,2
correct,hiz,2
hiz,com,2
com,correspond,2
correspond,com,2
com,pizarr,2
pizarr,usted,2
usted,dec,1
dec,compañer,2
compañer,bien,2
mal,respond,2
respond,bien,2
bien,usted,2
usted,result,2
result,buen,2
buen,bien,2
mal,pod,2
pod,cuatr,2
cuatr,bander,2
bander,voy,2
