algun,escuch,2
escuch,pong,2
pong,atencion,2
atencion,acuerd,1
carg,igual,4
igual,repel,2
repel,carg,2
carg,atra,4
atra,escuch,2
escuch,dic,2
dic,person,2
person,asi,2
com,puest,1
puest,atra,2
atra,dic,2
dic,asi,2
com,tan,2
tan,dond,1
dond,puest,2
puest,quien,2
quien,ocurr,2
ocurr,empez,2
empez,usar,2
usar,carg,1
carg,final,2
final,vem,2
vem,ultim,2
ultim,termin,1
termin,ultim,1
ultim,quien,2
quien,si,2
si,escuch,2
escuch,poquit,2
poquit,necesit,2
necesit,escuch,2
escuch,definicion,2
definicion,import,2
mism,lapiz,2
lapiz,cre,2
cre,papel,2
papel,pued,2
pued,hac,2
hac,prueb,4
prueb,lapiz,1
lapiz,dic,2
dic,leer,1
leer,hic,2
hic,dijeron,2
dijeron,lapiz,2
lapiz,quien,1
quien,final,1
final,lueg,2
lueg,tip,1
tip,necesit,2
necesit,ten,2
ten,teor,2
teor,segu,1
segu,trabaj,2
trabaj,mas,2
mas,tom,2
apunt,tom,1
tom,poquit,1
apunt,minut,2
minut,tom,2
apunt,com,1
com,igual,1
igual,siempr,2
apunt,necesit,2
necesit,mas,4
mas,hac,2
hac,rap,2
si,sol,2
sol,ten,2
ten,dos,2
dos,adel,2
adel,com,2
com,inform,1
inform,explic,2
explic,clar,2
clar,hac,2
hac,lapiz,2
papel,clas,1
clas,import,2
ten,tod,2
tod,inform,2
inform,necesari,2
necesari,pod,2
pod,final,2
mejor,hech,2
hech,gent,2
gent,carg,2
carg,com,2
com,sin,2
sin,hic,1
hic,sup,1
sup,quien,2
quien,hab,2
hab,person,2
person,tres,1
tres,com,1
com,roj,2
roj,man,2
man,cap,2
cap,roj,2
roj,mas,2
mas,nunc,1
nunc,final,2
clas,si,2
si,final,2
clas,ten,4
ten,list,2
list,final,2
final,problem,1
problem,vist,2
vist,quier,2
quier,usar,2
usar,problem,2
problem,si,1
si,vari,4
vari,falt,1
falt,habl,1
habl,posit,2
posit,negat,4
negat,trat,2
trat,primer,2
primer,habl,1
habl,empez,2
empez,material,2
material,descubr,2
descubr,hab,2
hab,repulsion,2
repulsion,atraccion,4
atraccion,lueg,2
lueg,nombr,2
nombr,cual,2
cual,nombr,2
carg,tip,1
tip,posit,2
negat,despues,2
despues,empez,2
empez,form,2
form,carg,2
pued,carg,2
atra,si,2
si,asi,1
electr,caracterist,1
caracterist,cre,2
cre,ten,2
ten,segun,2
segun,hic,2
hic,caracterist,2
caracterist,electr,2
podr,nuev,2
nuev,casi,2
casi,cas,2
cas,si,2
si,punt,2
punt,ten,2
electr,diferent,1
diferent,dos,2
dos,proxim,2
proxim,explic,2
explic,quien,1
quien,sal,2
sal,inform,2
inform,empez,2
empez,bien,2
bien,contest,1
contest,concept,2
concept,pas,1
pas,trat,1
trat,com,2
com,material,2
material,neutr,2
neutr,pod,1
pod,carg,2
carg,okay,2
okay,aqu,2
aqu,com,2
com,energ,2
termin,hac,2
hac,iba,1
iba,escuch,1
escuch,veo,1
veo,pregunt,2
pregunt,ten,2
com,respond,2
respond,si,2
si,siguient,2
siguient,ejempl,1
ejempl,exist,2
exist,atraccion,2
atraccion,repulsion,8
repulsion,dos,2
dos,sab,2
hac,caracterist,2
caracterist,ten,2
ten,si,1
bastant,mas,2
mas,ciert,2
ciert,dic,1
dic,respect,2
respect,atraccion,4
repulsion,respond,2
respond,pod,1
pod,busc,2
busc,internet,4
internet,dic,2
dic,busc,2
internet,si,2
si,necesari,2
necesari,lueg,2
hic,respect,1
repulsion,lueg,2
lueg,dic,2
dic,dos,2
dos,pod,2
pod,internet,1
internet,pod,2
pod,sal,2
sal,respond,2
respond,pregunt,6
pregunt,respond,2
respond,lueg,1
lueg,respond,2
respond,vien,2
vien,trabaj,2
trabaj,pregunt,2
pregunt,dij,1
dij,material,2
electr,lapiz,2
lapiz,com,4
electr,pregunt,1
pregunt,asi,2
asi,deb,2
deb,aqu,1
aqu,ped,2
ped,hor,2
hor,much,2
much,tod,2
tod,pued,2
pued,pas,2
com,sab,3
sab,mir,2
mir,dig,2
pregunt,cuadern,2
cuadern,form,2
form,tan,2
tan,sal,2
escrib,pregunt,4
pregunt,celul,2
cuadern,pued,2
pued,respond,2
respond,mas,2
mas,dos,1
dos,pregunt,2
pregunt,cual,2
cual,tres,2
tres,pregunt,4
pregunt,mejor,2
mejor,bien,1
bien,verd,2
verd,dic,2
dic,verd,2
verd,ten,2
ten,buen,1
pued,usar,2
usar,much,1
men,sup,2
sup,mayor,2
mayor,verd,1
verd,pregunt,2
qued,dos,2
dos,minut,2
minut,tres,2
pregunt,cuant,1
cuant,dias,2
dias,año,2
hol,com,2
com,clas,1
clas,voy,2
voy,bien,3
bien,com,5
com,si,2
si,com,2
com,pregunt,1
pregunt,4,2
4,com,2
sab,nombr,2
nombr,cancion,1
cancion,1,1
1,puest,1
puest,repulsion,1
atraccion,voy,1
bien,respond,2
pregunt,escrib,1
pregunt,tan,2
tan,necesari,2
respond,igual,2
igual,imagen,1
imagen,buen,2
dias,pregunt,1
pregunt,ahor,2
ahor,clas,2
clas,electr,2
electr,necesari,2
necesari,igual,1
igual,asi,2
asi,clas,2
clas,falt,1
falt,bien,2
bien,tres,2
tres,arrib,2
celul,clas,1
clas,carg,2
carg,lleg,1
lleg,veo,1
veo,bastant,2
bastant,qued,1
qued,tiemp,2
tiemp,graci,2
graci,respond,2
pregunt,vari,2
tod,ten,2
ten,respuest,2
respuest,mism,1
mism,carg,3
igual,lleg,2
lleg,vari,1
vari,tod,2
tod,list,2
list,respond,2
respond,numer,2
numer,1,2
repel,atra,2
atra,dond,1
dond,sal,2
sal,respuest,2
respuest,si,3
mejor,busc,2
busc,mas,2
mas,respuest,2
si,5,2
5,hac,2
hac,hor,2
hor,mas,2
mas,com,2
com,siempr,1
siempr,bien,3
bien,dos,2
dos,mism,2
mism,form,2
form,mism,2
carg,mism,2
mism,material,2
si,igual,2
igual,dud,1
dud,pas,2
pas,puest,2
puest,algun,2
algun,bien,1
com,algun,2
algun,dud,3
dud,dej,2
dej,proxim,2
proxim,clas,4
com,ten,1
ten,clas,2
clas,hor,2
hor,clas,2
ten,prueb,2
prueb,voy,2
voy,hac,2
hac,clas,2
clas,aqu,3
aqu,veo,2
veo,corazon,2
corazon,clas,2
clas,siempr,2
bien,asi,2
asi,proxim,2
proxim,respuest,1
respuest,cre,2
cre,atraccion,2
repulsion,algun,1
algun,voy,2
voy,seman,2
seman,si,2
si,quier,2
quier,hac,2
prueb,pued,2
pued,prueb,1
prueb,si,2
vari,pas,2
si,algun,2
dud,concept,2
concept,todav,2
todav,ten,2
ten,algun,2
algun,com,2
com,proxim,2
clas,respuest,1
respuest,clav,2
clav,hab,2
hab,dej,2
electr,anterior,2
anterior,clav,2
clav,algun,2
algun,part,2
part,clas,2
aqu,concept,1
concept,letr,4
letr,ciert,2
ciert,mientr,2
mientr,trabaj,2
trabaj,concept,2
letr,electr,2
electr,primer,1
primer,iba,2
iba,com,2
com,cre,2
cre,clas,4
clas,algun,2
algun,mejor,2
mejor,form,1
form,aport,2
aport,pod,2
pod,siguient,2
siguient,clas,6
clas,tal,2
tal,parec,2
parec,concept,2
concept,electr,1
conoc,ayud,2
ayud,concept,2
concept,dentr,2
dentr,vid,2
vid,pod,2
pod,com,2
com,parec,2
parec,dij,1
dij,clas,2
clas,particul,2
particul,parec,2
parec,prim,1
prim,concept,2
concept,cre,2
clas,mas,2
mas,hab,1
hab,clas,2
anterior,ciert,2
ciert,siguient,2
siguient,hic,2
hic,algun,2
algun,hic,2
hic,tan,2
tan,com,1
com,poquit,2
poquit,material,2
com,lapiz,2
com,papel,2
papel,hac,2
hac,dentr,2
dentr,sal,2
sal,parec,2
parec,conoc,1
conoc,cre,2
cre,conoc,2
conoc,necesari,2
necesari,dentr,2
clas,conoc,2
conoc,clas,2
clas,bien,1
bien,algun,2
algun,clas,2
clas,atras,2
atras,tiemp,2
tiemp,necesit,1
mas,tiemp,2
tiemp,gust,2
gust,arrib,2
arrib,cre,2
cre,concept,2
concept,habl,1
habl,carg,2
electr,carg,2
negat,posit,2
posit,tal,2
tal,sab,1
sab,bien,2
com,tal,2
tal,habl,2
habl,termin,1
termin,tan,2
tan,final,2
si,exist,2
exist,ahor,2
ahor,ide,2
ide,siguient,2
clas,gust,2
gust,hac,2
hac,siguient,2
clas,dim,1
dim,necesit,2
necesit,usar,1
usar,algun,2
algun,clav,2
clav,concept,2
concept,nuev,2
nuev,dej,2
dej,guard,2
guard,traves,1
traves,ultim,1
ultim,letr,2
letr,siempr,2
siempr,clas,1
clas,objet,2
objet,electr,2
electr,cre,2
cre,objet,2
objet,clas,2
clas,proxim,1
proxim,seman,2
seman,vay,2
vay,prueb,2
prueb,mas,2
mas,vem,2
vem,okay,2
okay,bien,2
bien,nombr,1
nombr,mas,1
mas,buen,1
