algun,segun,1
minut,entonc,2
entonc,a,2
a,tod,4
entreg,cantid,1
cantid,que,2
entreg,voy,2
voy,a,20
ver,poquit,1
poquit,a,2
a,situacion,2
situacion,algun,2
algun,cantid,2
ser,cual,1
cantid,segun,2
pued,cuant,1
cuant,necesit,10
necesit,por,2
por,si,2
si,se,2
se,cuant,2
person,cuant,2
person,pued,2
pued,se,2
pued,calcul,4
calcul,form,2
form,cuant,2
necesit,algui,2
algui,podr,2
podr,ecuacion,2
ecuacion,algui,1
algui,pued,2
pued,ecuacion,2
ecuacion,situacion,2
situacion,que,4
que,nombr,2
nombr,valor,2
valor,cuant,4
person,mas,2
mas,men,6
men,31,1
31,poquit,2
poquit,mas,2
que,mism,3
mism,ultim,2
ultim,vez,6
vez,grad,2
grad,calcul,1
calcul,que,2
que,40,3
40,algun,2
algun,problem,4
problem,da,2
da,mir,1
mir,40,1
40,asi,2
asi,ciert,2
ciert,com,3
com,estudi,2
estudi,vam,2
a,ir,10
ir,a,12
sal,inform,1
inform,necesit,2
que,algui,2
algui,ecuacion,2
ecuacion,cuant,8
cuant,que,8
si,cad,2
cad,busc,2
busc,40,2
40,person,2
person,total,2
total,martin,2
martin,por,4
favor,ecuacion,1
ecuacion,quier,2
quier,represent,2
represent,incognit,2
incognit,cuant,2
necesit,oper,2
algebr,numer,2
numer,100,2
100,letr,2
numer,mayor,2
mayor,va,2
va,primer,2
primer,se,1
si,que,8
que,ir,4
a,regl,2
regl,quier,2
quier,result,2
result,final,2
final,quier,2
quier,ecuacion,2
que,represent,8
represent,este,2
este,que,4
dic,algui,1
quier,aca,2
aca,dijeron,2
dijeron,pas,1
pas,aca,2
aca,a,2
a,pong,1
pong,nombr,2
nombr,lad,2
lad,que,4
pas,a,2
a,por,2
favor,algui,2
falt,coloc,2
coloc,martin,2
martin,algui,1
mas,pas,2
pas,adel,2
ten,cuatr,2
cuatr,diferent,2
com,4,2
4,diferent,2
diferent,dond,1
dond,mayor,2
mayor,multipl,2
multipl,ten,2
ten,com,2
com,iguald,2
iguald,sign,2
sign,igual,2
igual,numer,2
numer,letr,2
letr,incognit,2
incognit,este,2
este,moment,2
moment,4,2
4,represent,1
represent,ecuacion,4
algebr,ciert,4
ciert,dic,2
40,cad,2
cad,total,1
total,estudi,2
estudi,ciert,2
quier,dec,6
dec,que,8
que,estudi,2
que,cual,2
cual,40,2
40,niñ,2
niñ,cad,2
cad,x,2
x,cantid,1
cantid,ciert,2
ciert,digam,2
digam,si,1
si,bien,8
bien,que,2
que,habl,4
habl,tem,2
tem,hab,1
hab,com,2
com,cantid,2
cantid,estudi,2
dic,aca,1
aca,hag,2
hag,asi,2
asi,recuerd,1
a,vec,6
vec,coloc,2
coloc,algun,2
algun,oper,2
oper,com,2
